Video Id,Title,View Count,Length,Channel
MFx22zj6Xvw,Nationals vs. Pirates Game Highlights (9/14/23) | MLB Highlights,11 572 katselukertaa,8.17,/@MLB
5INDur2sb9E,Nationals vs. Pirates Game Highlights (9/13/23) | MLB Highlights,15 907 katselukertaa,7.12,/@MLB
-NuoxPup0Ps,Nationals vs. Pirates Game Highlights (9/11/23) | MLB Highlights,15 713 katselukertaa,7.11,/@MLB
K_OIYGdnhbE,Nationals vs. Pirates Game Highlights (9/12/23) | MLB Highlights,16 147 katselukertaa,7.14,/@MLB
aN-LweQ5Ib8,Mets vs. Nationals Game Highlights (9/6/23) | MLB Highlights,40 730 katselukertaa,7.28,/@MLB
C_FjxhnplSU,Nationals vs. Yankees Game Highlights (8/22/23) | MLB Highlights,95 062 katselukertaa,8.00,/@MLB
xFpDs1jL1ME,Knoxville MAGIC | 2023 Lucas Oil Late Model Nationals Thursday at Knoxville Raceway,4 069 katselukertaa,5.53,/@floracing
3aLK_qJMVjU,Red Sox vs. Nationals Game Highlights (8/17/23) | MLB Highlights,89 822 katselukertaa,9.01,/@MLB
lVywSKYTPZU,Nationals vs. Pirates Game Highlights (9/11/23) | MLB Highlights,1 571 katselukertaa,7.01,/@nationals
HlTsi6KOkGk,Joshua Palacios Hits Clutch Home Run in Win | Nationals vs. Pirates Highlights (9/12/23),2 707 katselukertaa,7.01,/@Pirates
lp8F7w5Js7U,Nationals vs. Yankees Game Highlights (8/22/23) | MLB Highlights,2 804 katselukertaa,7.46,/@nationals
ewcJCioq4iQ,Nationals vs. Blue Jays Game Highlights (8/28/23) | MLB Highlights,97 393 katselukertaa,7.41,/@MLB
MojBodgYSoU,Nationals vs. Marlins Game Highlights (8/25/23) | MLB Highlights,2 445 katselukertaa,8.29,/@nationals
w53FZACriHs,Nationals vs. Yankees Game Highlights (8/24/23) | MLB Highlights,136 938 katselukertaa,9.02,/@MLB
Zo73ME_qvTk,Nationals vs. Blue Jays Game Highlights (8/30/23) | MLB Highlights,113 782 katselukertaa,7.13,/@MLB
7DcuifPHXks,Mets vs. Nationals Game Highlights (9/5/23) | MLB Highlights,41 644 katselukertaa,9.10,/@MLB
joHWEPODSW4,Nationals vs. Yankees Game Highlights (8/23/23) | MLB Highlights,126 914 katselukertaa,8.39,/@MLB
3vtpbgAelBI,Dodgers vs. Nationals Game Highlights (9/9/23) | MLB Highlights,90 650 katselukertaa,9.11,/@MLB
Ve9Q0R5hzFA,A's vs. Nationals Game Highlights (8/11/23) | MLB Highlights,1 908 katselukertaa,7.15,/@nationals
