Video Id,Title,View Count,Length,Channel
xFUa0lCgfFY,MIDST | Weather | Season 2 Episode 4,14 952 katselukertaa,24.53,/@criticalrole
4aDnSc9pcKI,MIDST | Unrise | Season 1 Episode 1,385 014 katselukertaa,15.42,/@criticalrole
AjguM1duCMU,MIDST | Stalemate | Season 2 Episode 3,21 786 katselukertaa,14.03,/@criticalrole
wXk_oRTVcHM,MIDST | Secrets | Season 1 Episode 2,128 216 katselukertaa,24.50,/@criticalrole
eOm3MH7Qa60,MIDST | Mica | Season 1 Episode 3,92 690 katselukertaa,24.55,/@criticalrole
srZcixGDLpE,MIDST | Scry | Season 1 Episode 7,53 456 katselukertaa,21.49,/@criticalrole
lT93cfN_XEI,MIDST | Gala | Season 1 Episode 8,49 108 katselukertaa,32.41,/@criticalrole
2nxAjw1mQkA,MIDST | Shelter | Season 2 Episode 1,42 772 katselukertaa,19.18,/@criticalrole
fOi8DFziIPo,MIDST | Missions | Season 1 Episode 5,80 429 katselukertaa,32.03,/@criticalrole
0bza-jqskD4,MIDST | A Good Man | Season 1 Episode 18,34 986 katselukertaa,24.14,/@criticalrole
epZ6NGJemik,MIDST | Fold | Season 1 Episode 4,80 004 katselukertaa,21.24,/@criticalrole
BqIojN6hOek,MIDST | Convergence | Season 1 Episode 17,34 265 katselukertaa,16.47,/@criticalrole
ppnvtwH93a0,MIDST | Accounting | Season 1 Episode 15,34 433 katselukertaa,22.15,/@criticalrole
PEa_jPgtKhc,MIDST | Convert | Season 1 Episode 9,48 021 katselukertaa,26.33,/@criticalrole
hYXNLM_h2T4,MIDST | Zero | Season 1 Episode 6,57 348 katselukertaa,22.03,/@criticalrole
0jRm7f8OpZ8,MIDST | Moonfall | Season 1 Episode 19,34 787 katselukertaa,30.09,/@criticalrole
Ekg5ToDCqwo,MIDST | Ascendancy | Season 2 Episode 2,28 230 katselukertaa,14.18,/@criticalrole
ufDt_VbvEak,MIDST | Coda | Season 1 Episode 12,40 553 katselukertaa,18.03,/@criticalrole
