Video Id,Title,View Count,Length,Channel
Z-Nwo-ypKtM,"franceinfo - DIRECT TV - actualité france et monde, interviews, documentaires et analyses",,,/@franceinfo
gxG3pdKvlIs,FRANCE 24 – EN DIRECT – Info et actualités internationales en continu 24h/24,,,/@FRANCE24
nsAYN3uXeCM,L’info du jour | 5 septembre - Matin,8 266 katselukertaa,11.37,/@euronewsfr
-vr7zeGAidM,L’info du jour | 21 août - Matin,12 364 katselukertaa,11.47,/@euronewsfr
hQ4Pf1bjlb4,L’info du jour | 12 septembre - Matin,6 535 katselukertaa,11.45,/@euronewsfr
WNvSJDaZM9w,L’info du jour | 11 septembre - Matin,17 430 katselukertaa,11.45,/@euronewsfr
VWFwBD7R7xo,L’info du jour | 4 août - Matin,9 238 katselukertaa,11.49,/@euronewsfr
Y-n5nynxA0o,L’info du jour | 25 août - Mi-journée,7 909 katselukertaa,11.48,/@euronewsfr
FTykgxr7QR0,L’info du jour | 29 août - Matin,5 157 katselukertaa,11.45,/@euronewsfr
FC5kMEsgsKk,L’info du jour | 18 juillet - Matin,8 316 katselukertaa,11.49,/@euronewsfr
5ZOQzFc2TAs,L’info du jour | 8 septembre - Matin,8 107 katselukertaa,11.50,/@euronewsfr
Fc3qF94Yktc,L’info du jour | 27 août - Matin,10 754 katselukertaa,4.46,/@euronewsfr
3QQFtCzvK7o,L’info du jour | 28 mai - Mi-journée,18 509 katselukertaa,4.51,/@euronewsfr
cac_2DNgyic,L’info du jour | 22 juin - Soir,11 519 katselukertaa,11.34,/@euronewsfr
HePVL9ukA7g,L’info du jour | 12 mai - Matin,6 940 katselukertaa,11.43,/@euronewsfr
Wm1d-6PQpn0,L’info du jour | 13 août - Matin,12 785 katselukertaa,4.52,/@euronewsfr
9VvurDlrDjk,L’info du jour | 26 mai - Soir,7 521 katselukertaa,11.48,/@euronewsfr
Z7Iiqz7UJLY,L’info du jour | 11 septembre - Soir,5 361 katselukertaa,11.50,/@euronewsfr
