Video Id,Title,View Count,Length,Channel
PD-MdiUm1_Y,Led Zeppelin - Kashmir (Live from Celebration Day) (Official Video),145 193 698 katselukertaa,9.07,/channel/UCaKZA66vM_TUpetUNohmR0A
3DqKscyJij0,"Filipe Ret ""ILUSÃO"" ⏳ (pd. Dallass)",103 093 338 katselukertaa,3.29,/channel/UC9vsg8Lpxf2R8CjaLrd-R1g
YiM9oosSvNg,"Live PD: Most Viewed Moments from Jeffersonville, Indiana Police Department | A&E",38 850 340 katselukertaa,18.32,/@AETV
HLedllETYD4,Live PD: Top 5 Busts | A&E,37 454 281 katselukertaa,22.09,/@AETV
2Sj2fd6b_Cg,"Live PD: Most Viewed Moments from Richland County, South Carolina | A&E",33 051 379 katselukertaa,18.48,/@AETV
Zn0GBm1ltIk,Live PD: Top 6 Most Unusual Calls | A&E,28 709 966 katselukertaa,20.41,/@AETV
ce28TIoa4ao,Live PD: Top 4 Car Chases | A&E,27 443 638 katselukertaa,19.55,/@AETV
LqUxOfIdxxo,Live PD: Top 6 Worst Liars | A&E,26 007 408 katselukertaa,22.40,/@AETV
nbBHdhFs1q0,"Live PD: Most Viewed Moments from Slidell, Louisiana Police Department | A&E",25 634 267 katselukertaa,19.26,/@AETV
s4X-CSFTUfo,Live PD: Most Viewed Moments from Arizona/Phoenix Metro | A&E,24 848 276 katselukertaa,20.59,/@AETV
iVv_xiIx22Q,"Live PD: Most Viewed Moments from Calvert County, MD | A&E",24 837 731 katselukertaa,18.18,/@AETV
fxk3ZTusSqI,"Live PD: Most Viewed Moments from East Providence, Rhode Island | A&E",24 649 220 katselukertaa,20.26,/@AETV
HJyMIjmvp7w,"Live PD: Most Viewed Moments from Greene County, Missouri | A&E",24 637 785 katselukertaa,22.27,/@AETV
-9JQndAAvLE,Live PD: Most Viewed Moments from Utah Highway Patrol | A&E,23 054 081 katselukertaa,19.57,/@AETV
goxvS5pxLDo,Live PD: Most Viewed Moments from Florida Compilation | A&E,20 472 300 katselukertaa,18.49,/@AETV
LiEFyZGcK5c,"Live PD: Most Viewed Moments from Missoula County, Montana - Part 2 | A&E",19 593 008 katselukertaa,22.27,/@AETV
8NLE8d4GW-Y,"Live PD: Cop Calls w/ Jeffersonville, Indiana Police Department | A&E",19 086 507 katselukertaa,20.49,/@AETV
WL5-jFqxUDI,Police makes the most shocking discovery | Chicago P.D.,18 954 197 katselukertaa,0.57,/@Chicago
YiEj9mrqTN0,"Live PD: Most Viewed Moments from Walton County, FL | A&E",18 594 981 katselukertaa,20.54,/@AETV
