Video Id,Title,View Count,Length,Channel
4IgLyTXLuiY,How to protect yourself from government propaganda – Laura Dodsworth | Spectator TV,19 787 katselukertaa,53.27,/@SpectatorTV
TYVR6nsT6Y0,Andrew Doyle: why was I cancelled at Edinburgh Fringe? | Spectator TV,90 847 katselukertaa,26.13,/@SpectatorTV
tKpDYti_CUQ,Texas trans ban & Macron loses Africa – The Week in 60 Minutes | SpectatorTV,29 791 katselukertaa,1.05.09,/@SpectatorTV
vK9m1Q2R0Qs,Prigozhin's downfall & Trump's untouchable lead – The Week in 60 Minutes | SpectatorTV,25 313 katselukertaa,1.12.22,/@SpectatorTV
X9IOIXenPMU,Policing crisis & Douglas Murray on Elgin Marbles – The Week in 60 Minutes | SpectatorTV,33 607 katselukertaa,53.37,/@SpectatorTV
NcpFJkZV0Kg,"Is Putin winning the culture war? Plus, Hitchens vs e-bikes – The Week in 60 Minutes | SpectatorTV",36 843 katselukertaa,1.11.08,/@SpectatorTV
u2zY8TAyEnI,Trump’s Georgia trial & Merkel’s tattered legacy – The Week in 60 Minutes | SpectatorTV,27 676 katselukertaa,59.12,/@SpectatorTV
A4XyIA3XqS8,Michael Shellenberger: Exposing the censorship industrial complex | SpectatorTV,167 808 katselukertaa,1.20.08,/@SpectatorTV
qVuDh_RxwVo,Britain's killer dogs & Trump charged (again) – The Week in 60 Minutes | SpectatorTV,19 868 katselukertaa,58.03,/@SpectatorTV
YysgbnBohhc,What is the point of Pride? Douglas Murray & Julie Bindel – The View from 22 | Spectator TV,591 932 katselukertaa,36.30,/@SpectatorTV
hgLrWOopzW4,Lionel Shriver on Corinna Cohn & trans children – The Week in 60 Minutes | SpectatorTV,11 618 katselukertaa,13.54,/@SpectatorTV
z0zejgGASDM,Eliezer Yudkowsky on AI doom & how to stop illegal boats   – The Week in 60 Minutes | SpectatorTV,20 225 katselukertaa,1.09.01,/@SpectatorTV
Hqd5Dew583Y,Douglas Murray on assisted dying & DeSantis's campaign crash – The Week in 60 Minutes | SpectatorTV,33 935 katselukertaa,1.03.55,/@SpectatorTV
ucslte2s1tg,The truth about the NHS & Andrew Neil on Europe's riots – The Week in 60 Minutes | SpectatorTV,34 981 katselukertaa,1.02.31,/@SpectatorTV
7Y6DVpTqcqI,Peter Boghossian: how the Academy got woke and why the 'New Atheists' are to blame | SpectatorTV,385 779 katselukertaa,1.04.10,/@SpectatorTV
ZP85ala9xYg,Labour's trans rights reform & Douglas Murray on Iraq – The Week in 60 Minutes | SpectatorTV,42 782 katselukertaa,1.03.30,/@SpectatorTV
jzelOEXEmOw,Why Europe riots – Andrew Neil & Jonathan Miller | SpectatorTV,25 234 katselukertaa,18.18,/@SpectatorTV
ezh7PhNn2Wg,Lionel Shriver & Rob Henderson: gender and climate obsession will destroy the West | SpectatorTV,57 349 katselukertaa,23.41,/@SpectatorTV
