Video Id,Title,View Count,Length,Channel
gZEUnSdckBc,Yankees vs. Red Sox Game 1 Highlights (9/14/23) | MLB Highlights,58 647 katselukertaa,7.55,/@MLB
9AoUEEHvgOI,Rangers vs. Blue Jays Game Highlights (9/14/23) | MLB Highlights,26 080 katselukertaa,9.06,/@MLB
t4O-4mqzHeU,Padres vs. Dodgers Game Highlights (9/13/23) | MLB Highlights,132 153 katselukertaa,7.19,/@MLB
aGSREnq2ygc,D-backs vs. Mets Game Highlights (9/14/23) | MLB Highlights,27 348 katselukertaa,7.23,/@MLB
LNe_d3NW3UE,Rays vs. Orioles Game Highlights (9/14/23) | MLB Highlights,30 717 katselukertaa,7.46,/@MLB
8KGrsNKdS4I,Braves vs. Phillies Game Highlights (9/13/23) | MLB Highlights,126 743 katselukertaa,7.30,/@MLB
1AZ3kgMHCOY,Reds vs. Tigers Game Highlights (9/14/23) | MLB Highlights,23 832 katselukertaa,7.52,/@MLB
IKPna4Mx6Rc,Padres vs. Dodgers Game Highlights (9/13/23) | MLB Highlights,71 328 katselukertaa,7.06,/@Padres
o-TKza1oALQ,Yankees vs. Red Sox Game 1 Highlights (9/12/23) | MLB Highlights,110 046 katselukertaa,8.15,/@MLB
TVRGsd96SJw,Marlins vs. Brewers Game Highlights (9/14/23) | MLB Highlights,23 359 katselukertaa,9.25,/@MLB
AcAjhq44Bmw,Braves vs. Phillies Game Highlights (9/12/23) | MLB Highlights,121 741 katselukertaa,7.40,/@MLB
bE-BjLY6Vk4,Padres vs. Dodgers Game Highlights (9/12/23) | MLB Highlights,140 075 katselukertaa,7.42,/@MLB
PNqfXJctWqY,Reds vs. Tigers Game Highlights (9/13/23) | MLB Highlights,51 871 katselukertaa,7.50,/@MLB
VWgYNtbWmcc,Yankees vs. Red Sox Game 1 Highlights (9/12/23) | MLB Highlights,42 939 katselukertaa,8.02,/@yankees
tUIYoC7xcIY,Brewers vs. Yankees Game Highlights (9/9/23) | MLB Highlights,113 848 katselukertaa,8.39,/@MLB
awwpqD-XDYI,Brewers vs. Yankees Game Highlights (9/10/23) | MLB Highlights,128 612 katselukertaa,9.09,/@MLB
0wX0b3Be9y4,Padres vs. Dodgers Game Highlights (9/12/23) | MLB Highlights,90 438 katselukertaa,7.38,/@Dodgers
OdHfBv4-Yls,Angels vs. Mariners Game Highlights (9/13/23) | MLB Highlights,96 969 katselukertaa,8.38,/@MLB
3ullWm8R628,Braves vs. Phillies Game 1 Highlights (9/11/23) | MLB Highlights,95 860 katselukertaa,8.49,/@MLB
