Video Id,Title,View Count,Length,Channel
Y_FzuLwCZnk,"3 EASY BEGINNERS FRIENDSHIP BRACELETS || Twisted, Striped, & Chevron ||",3 270 306 katselukertaa,8.15,/@audreysjar
qAZNDH9M1U4,Clay Bead Bracelets! || TikTok Compilation,31 794 katselukertaa,12.21,/@queenbeadsbylilly
Ph3BTRZrD8A,📿 Clay Bead Bracelet Making 💰 Small Business TikTok Compilation #78,60 176 katselukertaa,29.06,/@claybeadbracelets
oECaOgPrJC4,Clay bead bracelet tiktoks ✨ #1 | Beads Of Luck Jewelry!! | #fypシ,128 865 katselukertaa,13.31,/@BeadsOfLuckJewelryco.
JJ0-tWAvc2c,heart friendship bracelet tutorial!! (valentine’s day bracelet),1 095 861 katselukertaa,11.41,/@audreysjar
RS2ICDlmX2o,How to make daisy bracelet || yarnivora,1 217 465 katselukertaa,11.02,/@yarnivora
5Xy0ioEZdZg,Shoutout to @squishergaming8662 for the idea!#shortsfeed #bracelet #friendshipbracelets,23 457 katselukertaa,0.48,/@Leeleesbeads
L3Yw-umKBpY,Triple Layer Zigzag Macrame Friendship Bracelets | Easy Tutorial for Beginner,975 428 katselukertaa,9.04,/@Aillin
2JaYeNyyj84,DIY Tutorial Macrame Bracelet Part 1,350 katselukertaa,13.43,/@ofwsgchannel1045
vMksOPgIMmw,Make Bracelets With Me At Night(How To Make Bracelets)& Pack My Biggest Order || KellyPrepsterStudio,44 703 katselukertaa,22.18,/@kellyprepsterstudio
yfw7Wm6E40w,how to make easy bracelet || yarnivora,1 157 191 katselukertaa,4.23,/@yarnivora
6FAlWLomefQ,🎀Clay Bead Bracelet TikTok Compilation 🎀|Bracelet Edits Shorts & Reels|Small Business😍 #99,1 820 katselukertaa,31.19,/@TIKTOK_COMPILATION111
UmcthQRWGUY,DIY Macrame Friendship Bracelet | Macrame Bracelet Tutorial,2 873 455 katselukertaa,8.39,/@macrameverse
NwfJnyeReoc,the BEST Bracelet Business 🌴🤍,697 811 katselukertaa,0.10,/@MadeByGwen
tQB-TCgvnYE,How to Secure a Stretch Cord Bracelet,2 927 642 katselukertaa,9.38,/@beadaholique
8q7fvgNjy7I,Bracelets :),125 900 katselukertaa,0.36,/@littleme7804
BPUTO_pCQDQ,How To Make Macrame Bracelets | DIY | Handmade Jewellery Ideas | Thread Bracelet |Creation&you,4 687 863 katselukertaa,3.17,/@CreationAndYou
NkOwTNPWF6c,MAKING CLAY BEAD BRACELETS (MAKING BRACELETS TOGETHER: HOW TO MAKE BRACELETS) || KellyPrepsterStudio,77 086 katselukertaa,20.27,/@kellyprepsterstudio
7VP0o03xf8s,Triangle Simple Minimalistic Cute Macrame Friendship Bracelets | Easy Tutorial for Beginner,1 070 870 katselukertaa,4.55,/@Aillin
