Video Id,Title,View Count,Length,Channel
Hi8TujgF5Ks,What possible Kim-Putin deals could look like? | DW News,68 482 katselukertaa,18.38,/@dwnews
Qx6pe4ggAH4,How the Philippines and Australia plan to counter the threat from China | DW News,131 891 katselukertaa,9.03,/@dwnews
SjS_vFvRmsQ,Tourism in times of climate change | DW Documentary,70 841 katselukertaa,28.26,/@DWDocumentary
pqabxBKzZ6M,DW News livestream | Headline news from around the world,,,/@dwnews
K63XdmZPK7M,Libya flood: How the country's divide is hampering humanitarian aid efforts | DW News,77 205 katselukertaa,10.02,/@dwnews
5kmEiY9ZS-Q,Russia touts its trade ties to China | DW Business,79 656 katselukertaa,5.55,/@dwnews
cH7xz2Bc0ng,What an arms deal between Russia & North Korea would mean geopolitically | DW News,220 743 katselukertaa,6.33,/@dwnews
_2UbZC2oJZM,EU announces investigation into Chinese electric carmaker subsidies | DW News,97 422 katselukertaa,5.10,/@dwnews
Yty_IT_lxmM,Ailing China: An increased threat to Taiwan? | DW News,49 178 katselukertaa,5.27,/@dwnews
r2Kk2hUWyG0,Armenia turns away from Russia and towards the US amid Nagorno-Karabakh block | DW News,76 860 katselukertaa,13.41,/@dwnews
_tSElcPV3ZM,US and Google face off in landmark antitrust trial | DW News,17 186 katselukertaa,11.15,/@dwnews
y-Uaq6gwkLk,Could the flood catastrophe in Libya have been avoided? | DW News,454 701 katselukertaa,7.35,/@dwnews
L9pFKgMLiC4,Ukraine urges Germany to speed up decision on Taurus cruise missiles | DW News,96 026 katselukertaa,5.26,/@dwnews
kLDHAzFVN9c,Who are the winners and losers of India's G20 Summit? | DW News,347 335 katselukertaa,4.40,/@dwnews
WDs8JXUmwdE,EU Parliament debates how to protect Europe from extreme weather | DW News,51 797 katselukertaa,9.41,/@dwnews
QbwYBv_vARU,Former NATO General: Western self-deterrence only prolongs Ukraine war | Conflict Zone,371 047 katselukertaa,26.07,/@dwnews
Saw_E57pRiA,What is the Republican strategy behind the Biden impeachment inquiry? | DW News,12 097 katselukertaa,6.53,/@dwnews
pFJykrwsxxI,How the flooding in Libya triggered several disasters | DW News,27 996 katselukertaa,19.36,/@dwnews
ZeoB9FCUT1I,Why the Morocco earthquake was so destructive and deadly | DW News,189 126 katselukertaa,10.37,/@dwnews
